id,type,text1,text2,text3,notes
ncd_spinalemlmed,WEAPON,"A spinal chemrail built into some NCD co ships, its main job is to deal heavy damage to enemies that may be out of reach of its main guns.",,,
ncd_fighteremlmed,WEAPON,"A spinal chemrail for use by some NCD co fighters, its main job is to deal heavy damage to enemies from a safer distance.",,,
ncd_fighteremllar,WEAPON,"A spinal chemrail for use by the largest of NCD co fighters, its main job is to deal heavy damage to enemies from a safer distance.",,,
ncd_hydra7x,WEAPON,A rocket pod built for use by fighter craft.,,,
ncd_hydra19x,WEAPON,A rocket pod built for use by fighter craft.,,,
ncd_aimsidewinder1x,WEAPON,An anti fighter missile pod made for use by fighter craft.,,,
ncd_aimsidewinder2x,WEAPON,An anti fighter missile pod made for use by fighter craft.,,,
ncd_armharm1x,WEAPON,A missile purpose built to Supress Enemy Air Defenses (SEAD) for use by fighter craft.,,,
ncd_admmaldpod,WEAPON,A decoy launcher made to saturate enemy point defenses.,,,
ncd_av3harrier,SHIP,"The Harrier was originally an Attack aircraft but was later converted for fleet defense duties. This is due to some carriers serverly lacking in self defense weaponary, thus leaving the vulnerable to any ship or fighter that can slip past escorts. Fortunately for any captain or fleet requiring a defensive fighter, new wings are still popping up across the sector, although it is unknown if its NCD Co or other groups who are producing these.",,,
ncd_fa4hornet,SHIP,"The Hornet is a multirole fighter that can do anything from air to air combat, ground attack missions and anti ship missions, to acting as a tanker or even do Electronic Warfare with is Growler variant. This variant is equipped for anti ship strikes, allowing it to deal heavy damage to any ship unfortunate enough to come across it.",,,
ncd_agmharpoon1x,WEAPON,A missile built to take down enemy warships.,,,
ncd_omegabc,SHIP,"The Omega was a battlecruiser made to switfly hunt down any ship of any size with its very fast speed, plasma burn and its large array of armaments. It is not an easy ship to fly, as its plasma burns may lead to inexperienced captains launching themselves into death's doors. As such, it is reccomended that only experienced pilots should pilot it.",,,
ncd_spinalemllar,WEAPON,"A spinal chemrail built into the largest of NCD co warships, it can deal heavy damage from long range.",,,
ncd_cherubimcv,SHIP,"The Cherubim was a fleet carrier made to amass the largest possible amount of fighters while allowing for more escort ships to be deployed. This does however come at the cost of its armament, making it very important to ensure that enemies do not get close enough to fire on the carrier.",,,
